ID,NOMBREAPELLIDO,CODIGOCIUDAD,FECHAINGRESO,TELEFONO,CORREO,CARRERA
338,YURNET,6,12/11/2020,2972150,yurnet@gmail.com,Administración de empresas
339,HIEFFER,8,12/4/2019,3817060,hieffer@outlook.com,Geología 
340,YOUBERT,8,12/20/2020,3660242,youbert@outlook.co,Ingenieria electrónica
341,STEFEN,1,5/29/2018,3015501,stefen@hotmail.com,Ingeniería eléctrica
342,NORABEL,2,10/17/2016,2838663,norabel@hotmail.co,Ingeniería eléctrica
343,MILBAN,7,8/10/2021,3215813,milban@gmail.co,Ingeniería Industrial
344,LSO,4,9/18/2017,3135223,lso@gmail.com,Ingenieria electrónica
345,WILLIS,12,5/10/2016,3561519,willis@outlook.com,Ingenieria química
346,COSTELLO,1,1/19/2022,3789672,costello@hotmail.com,Ingeniería Industrial
347,MARGUI,5,11/9/2019,3054582,margui@hotmail.co,Ingeniería eléctrica
348,HUERFIA,12,8/3/2022,3533041,huerfia@gmail.,Ingeniería de sistemas
349,ODIRA,4,9/16/2016,2616986,odira@gmail.com,Ingenieria química
350,DOVELIA,6,3/4/2022,2594692,dovelia@outlook.com,Ingenieria electrónica
351,NEBERTO,2,3/23/2021,3775621,neberto@outlook.co,Ingeniería eléctrica
352,YORYA,1,8/7/2019,2678796,yorya@hotmail.com,Ingeniería eléctrica
353,LUDEY,6,3/2/2019,3308498,ludey@hotmail.co,Geología 
354,ELLESI,5,6/14/2016,3575371,ellesi@gmail.co,Ingeniería eléctrica
355,DELIZABETH,1,10/29/2021,3348760,delizabeth@gmail.com,Ingenieria electrónica
356,WALINTON,1,11/8/2018,3182474,walinton@outlook.com,Ingeniería de sistemas
357,YAERLIS,10,2/13/2019,3223931,yaerlis@outlook.co,Ingeniería de sistemas
358,DEINEY,4,8/10/2021,3517718,deiney@hotmail.com,Ciencia política
359,JETNI,6,8/29/2017,2711154,jetni@hotmail.co,Ciencia política
360,MAUXI,8,10/23/2016,2728093,mauxi@gmail.co,Geología 
361,HAMNER,2,7/5/2018,3225985,hamner@gmail.com,Ingenieria electrónica
362,JAMET,2,9/20/2020,3323824,jamet@outlook.com,Ingeniería de sistemas
363,VILLIDONIO,8,1/7/2020,2725898,villidonio@outlook.co,Administración de empresas
364,LUCERITH,1,5/23/2022,3445948,lucerith@hotmail.com,Ingenieria química
365,FANDIÑO,10,2/27/2021,3801987,fandiño@hotmail.co,Ingeniería Industrial
366,MARIAIS,10,6/3/2021,null,mariais@gmail.co,Ciencia política
367,KAROLANE,6,10/2/2020,3268494,karolane@gmail.com,Ingenieria química
368,YUIVARILDO,15,7/8/2016,3072413,yuivarildo@outlook.com,Ingenieria electrónica
369,LUCELIYER,2,1/8/2019,3255018,luceliyer@hotmail.com,Ingeniería eléctrica
370,YARIBETH,5,11/5/2020,3306816,yaribeth@hotmail.co,Ingeniería eléctrica
371,BISETH,10,11/24/2021,3694426,biseth@gmail.co,Ingenieria electrónica
372,ELICEMIR,5,9/24/2020,3866248,elicemir@gmail.com,Estadística
373,JESMY,6,9/25/2017,3770533,jesmy@outlook.com,Ingeniería eléctrica
374,JOSSELYM,8,7/18/2023,2918212,josselym@outlook.co,Ingeniería Industrial
375,GHUGO,7,11/2/2016,3142185,ghugo@hotmail.com,Administración de empresas
376,GALIN,2,9/16/2020,2744127,galin@hotmail.co,Geología 
377,GREGOR,7,11/19/2019,2666175,gregor@gmail.co,Ingenieria electrónica
378,JIMMMY,14,7/31/2021,3234086,jimmmy@gmail.com,Matemáticas
379,GEIGNY,8,5/14/2021,3145672,geigny@outlook.com,Estadística
380,DIERLYS,12,5/13/2020,3412948,dierlys@outlook.co,Ingenieria química
381,HALBI,5,9/24/2019,3893742,halbi@hotmail.com,Geología 
382,NUMERLAY,2,11/8/2016,3393530,numerlay@hotmail.co,Ingenieria electrónica
383,LEUDENYS,8,7/1/2017,3785622,leudenys@gmail.co,Ingeniería de sistemas
384,BERMEILEN,5,5/31/2018,3493302,bermeilen@gmail.com,Estadística
385,IVONETH,14,5/29/2023,2963094,ivoneth@outlook.com,Ingenieria electrónica
386,CONVERTY,6,11/11/2020,3298790,converty@outlook.co,Estadística
387,AMIL,4,9/7/2018,3535185,amil@hotmail.com,Ingeniería Industrial
388,ALVEEN,2,6/24/2020,2753996,alveen@hotmail.co,Administración de empresas
389,GARAVITO,5,1/2/2019,3654964,garavito@gmail.co,Administración de empresas
390,JISA,12,6/13/2019,2637289,jisa@gmail.com,Ciencia política
391,DREILY,10,1/18/2018,3886295,dreily@outlook.com,Administración de empresas
392,AMELVY,8,12/9/2020,2860426,amelvy@hotmail.com,Ingenieria química
393,JHURISHADAY,1,6/17/2020,2640383,jhurishaday@hotmail.co,Estadística
394,DEWIN,15,8/24/2021,3663472,dewin@gmail.co,Ingeniería de sistemas
395,EBOLI,5,11/18/2021,3704428,eboli@gmail.com,Ingenieria electrónica
396,DEYRON,1,11/4/2017,3076381,deyron@outlook.com,Administración de empresas
397,LEXON,15,11/23/2016,3912450,lexon@outlook.co,Matemáticas
398,DELSIRA,10,7/21/2018,3756104,delsira@hotmail.com,Ciencia política
399,YENNINFER,5,1/19/2018,3792886,yenninfer@hotmail.co,Estadística
400,ZURIMABO,2,9/11/2022,3107951,zurimabo@gmail.co,Estadística
401,BREEINNER,1,1/15/2022,2620157,breeinner@gmail.com,Matemáticas
402,RUSDELIA,6,7/10/2018,3117556,rusdelia@outlook.com,Administración de empresas
403,VECSI,5,5/30/2016,3562980,vecsi@outlook.co,Geología 
404,QUE,12,5/3/2021,3853022,que@hotmail.com,Geología 
405,LESLEYDIS,7,4/20/2021,3169005,lesleydis@hotmail.co,Ingeniería Industrial
406,MICHELYS,7,6/21/2022,2837729,michelys@gmail.co,Ciencia política
407,HERNADIS,7,4/19/2023,3818191,hernadis@gmail.com,Ingeniería de sistemas
408,SIBIL,2,9/30/2018,3073314,sibil@outlook.com,Ingeniería Industrial
409,MYNDI,1,4/11/2017,3327645,myndi@outlook.co,Ingeniería eléctrica
410,ANDIERI,14,5/22/2020,2913,andieri@hotmail.com,Geología 
411,JEREMMY,4,7/4/2016,2664123,jeremmy@hotmail.co,Ingeniería de sistemas
412,EHISEMBER,15,9/11/2016,2881395,ehisember@gmail.co,Administración de empresas
413,OLAF,10,7/20/2022,3439313,olaf@gmail.com,Geología 
414,MILIAM,15,8/8/2022,3448689,miliam@outlook.com,Administración de empresas
415,YUDIBYS,7,3/21/2023,3870850,yudibys@hotmail.com,Ciencia política
416,LUZCINIA,14,12/25/2018,3692745,luzcinia@hotmail.co,Estadística
417,DORALBER,8,8/6/2020,3364986,doralber@gmail.co,Ingeniería de sistemas
418,MELEDENYS,12,7/24/2021,3185781,meledenys@gmail.com,Ciencia política
419,ALUVIER,1,1/18/2018,3328248,aluvier@outlook.com,Ingeniería eléctrica
420,PENUELA,14,5/15/2019,3730313,penuela@outlook.co,Estadística
421,EDIH,5,10/5/2021,2976395,edih@hotmail.com,Ingenieria química
422,WALEZKA,2,9/13/2021,2890038,walezka@hotmail.co,Ingeniería eléctrica
423,GERMINIA,8,8/8/2021,3489298,germinia@gmail.co,Ingeniería eléctrica
424,ANNISA,2,9/11/2019,3309612,annisa@gmail.com,Ingeniería eléctrica
425,YONDARO,14,11/2/2021,3854769,yondaro@outlook.com,Ingenieria química
426,ARQUIMINO,10,10/3/2022,3099313,arquimino@outlook.co,Ciencia política
427,BIUN,10,12/5/2016,3515169,biun@hotmail.com,Ingeniería de sistemas
428,LISNELLY,1,2/1/2023,3714736,lisnelly@hotmail.co,Administración de empresas
429,OSILIO,6,7/24/2023,3727295,osilio@gmail.co,Administración de empresas
430,AMYS,2,4/26/2022,3439356,amys@gmail.com,Geología 
431,JENIXA,10,4/16/2018,3107288,jenixa@outlook.com,Ingeniería Industrial
432,NURIZ,6,9/26/2022,3410037,nuriz@outlook.co,Administración de empresas
433,CECUNDINA,2,1/17/2022,2919429,cecundina@hotmail.com,Ingenieria electrónica
434,DARLYSSON,8,2/20/2021,3414987,darlysson@hotmail.co,Geología 
435,EIDIS,7,2/2/2022,3144665,eidis@gmail.co,Administración de empresas
436,MAKAREM,12,10/26/2021,3766551,makarem@gmail.com,Ingeniería eléctrica
437,JERQUIN,14,3/16/2019,2758906,jerquin@outlook.com,Ciencia política
438,VIANE,5,6/15/2022,3234033,viane@hotmail.com,Ingeniería de sistemas
439,DEIFAM,12,9/16/2021,2779527,deifam@hotmail.co,Matemáticas
440,FLORADIS,6,1/10/2019,3240899,floradis@gmail.co,Ingenieria electrónica
441,LISNAIDU,10,2/22/2019,3410412,lisnaidu@gmail.com,Ingenieria electrónica
442,GERSSAN,4,3/27/2021,3114437,gerssan@outlook.com,Ingeniería de sistemas
443,YIBSON,5,12/9/2021,3031226,yibson@outlook.co,Ingeniería eléctrica
444,CAMPANELLA,8,8/16/2017,3804239,campanella@hotmail.com,Ingeniería Industrial
445,YAZBLEIDI,12,8/16/2022,2920614,yazbleidi@hotmail.co,Ingeniería de sistemas
446,YIFERSON,10,11/2/2021,3819913,yiferson@gmail.co,Ingeniería eléctrica
447,JHARIXLEINY,2,7/11/2023,3646498,jharixleiny@gmail.com,Matemáticas
448,ARLIDYS,1,9/2/2018,3181404,arlidys@outlook.com,Administración de empresas
449,DELIO,4,11/27/2020,3045733,delio@outlook.co,Ciencia política
450,FAYBELLY,14,2/18/2020,3125530,faybelly@hotmail.com,Ingenieria química
451,LUZSILVIA,1,2/27/2022,3918980,luzsilvia@hotmail.co,Ingeniería Industrial
452,KELIS,5,1/6/2018,3203055,kelis@gmail.co,Ingeniería Industrial
453,YAYTZA,6,3/23/2020,3717517,yaytza@gmail.com,Geología 
454,OJAHUER,14,3/11/2018,3676885,ojahuer@outlook.com,Administración de empresas
455,ANDERTSON,10,8/8/2016,3097681,andertson@outlook.co,Ingeniería eléctrica
456,SARH,14,8/24/2020,3046975,sarh@hotmail.com,Ingenieria electrónica
457,BANYANI,5,10/6/2016,3057017,banyani@hotmail.co,Ciencia política
458,MARINEL,2,5/7/2021,3516089,marinel@gmail.co,Ingeniería eléctrica
459,MARCELENI,1,12/10/2018,3614786,marceleni@gmail,Ingenieria química
460,HARBETH,10,7/26/2022,3013690,harbeth@outlook.com,Estadística
461,JESE,10,4/16/2022,3052062,jese@hotmail.com,Ingeniería de sistemas
462,OSMEY,7,7/13/2019,3114200,osmey@hotmail.co,Geología 
463,GEUSSEPPE,10,12/25/2018,3683521,geusseppe@gmail.co,Estadística
464,SYDNEIRYS,1,4/29/2017,2899432,sydneirys@gmail.com,Geología 
465,YOLANDA,4,1/3/2023,2946588,yolanda@outlook.com,Matemáticas
466,NAOBIS,7,8/16/2016,3065868,naobis@outlook.co,Administración de empresas
467,JHAINSON,8,7/2/2021,2630014,jhainson@hotmail.com,Ingenieria química
468,NAYLIT,7,9/18/2019,3262313,naylit@hotmail.co,Ingeniería de sistemas
469,DUNI,2,10/22/2016,3539662,duni@gmail.co,Ingeniería eléctrica
470,DIRLEYS,7,11/30/2019,2918635,dirleys@gmail.com,Ingeniería de sistemas
471,YHENY,12,3/26/2016,3608268,yheny@outlook.com,Estadística
472,PREILY,4,4/15/2019,3804053,preily@outlook.co,Ciencia política
473,YOLBERT,10,7/3/2017,3447917,yolbert@hotmail.com,Ingenieria química
474,EGURROLA,5,7/23/2022,3174341,egurrola@hotmail.co,Administración de empresas
475,LAIDETH,12,7/23/2017,3799310,laideth@gmail.co,Ingenieria electrónica
476,DOYMEN,8,4/8/2022,2707268,doymen@gmail.com,Geología 
477,NIBAR,5,1/20/2021,3704669,nibar@outlook.com,Ingeniería de sistemas
478,MELEC,10,6/12/2020,2949216,melec@outlook.co,Ingeniería de sistemas
479,FAUN,5,9/29/2018,2655995,faun@hotmail.com,Ingeniería Industrial
480,HERNÁNDEZ,15,12/10/2018,3257177,hernández@hotmail.co,Matemáticas
481,CRYS,5,4/14/2020,3466036,crys@gmail.co,Ingeniería de sistemas
482,ALFAZAR,14,4/11/2018,3166774,alfazar@gmail.com,Matemáticas
483,EGLIET,5,10/1/2020,3385464,egliet@outlook.com,Administración de empresas
484,HAMLIM,5,6/28/2017,3912650,hamlim@hotmail.com,Estadística
485,QUENIER,12,11/18/2019,3147397,quenier@hotmail.co,Ingenieria química
486,NELCID,2,3/20/2023,3051659,nelcid@gmail.co,Ingenieria química
487,ERIDALIA,14,6/8/2016,2586398,eridalia@gmail.com,Ciencia política
488,GESOHAR,5,5/14/2021,3427244,gesohar@outlook.com,Estadística
489,DIANELLA,5,9/23/2020,3537566,dianella@outlook.co,Ingenieria electrónica
490,ADELY,2,4/23/2019,2797899,adely@hotmail.com,Ingeniería de sistemas
491,JAMINSER,2,12/20/2021,2678384,jaminser@hotmail.co,Ciencia política
492,JOUSWAR,1,8/24/2019,3200978,jouswar@gmail.co,Ingenieria química
493,MARGREH,1,10/29/2020,3287810,margreh@gmail.com,Ingeniería de sistemas
494,ELIERCENA,1,4/8/2021,3412478,eliercena@outlook.com,Estadística
495,TAN,15,5/20/2021,2645714,tan@outlook.co,Administración de empresas
496,HEIBBER,2,1/7/2018,2951462,heibber@hotmail.com,Ingenieria electrónica
497,DORISLEY,10,5/7/2018,3088087,dorisley@hotmail.co,Matemáticas
498,JOHNNA,5,2/7/2021,2774828,johnna@gmail.co,Ingeniería eléctrica
499,LIEIDE,5,5/26/2016,3070505,lieide@gmail.com,Geología 
500,KELLYJOHANA,10,6/6/2023,2671124,kellyjohana@outlook.com,Geología 
501,JAMINE,15,3/2/2023,3322375,jamine@outlook.co,Ingeniería eléctrica
502,BRESNEDIS,5,7/18/2022,3020543,bresnedis@hotmail.com,Ingeniería eléctrica
503,NRIQUE,6,1/10/2017,2643374,nrique@hotmail.co,Estadística
504,SOBEIDE,5,11/4/2018,3593047,sobeide@gmail.co,Geología 
505,YANNICK,14,5/21/2018,3411029,yannick@gmail.com,Matemáticas
506,SOIDY,12,5/21/2018,3777173,soidy@outlook.com,Ingenieria electrónica
507,YONGHUI,14,12/24/2021,3179042,yonghui@hotmail.com,Ciencia política
508,NAICIR,10,5/6/2016,2596630,naicir@hotmail.co,Ingenieria química
509,ARLINTHON,5,4/12/2022,3878108,arlinthon@gmail.co,Ingeniería Industrial
510,YBRAIL,6,4/13/2022,3905585,ybrail@gmail.com,Administración de empresas
511,NORLAY,1,5/17/2021,3806414,norlay@outlook.com,Administración de empresas
512,ARISTODEMOS,14,9/13/2020,3678220,aristodemos@outlook.co,Ingeniería de sistemas
513,CAPELA,7,11/13/2019,2786870,capela@hotmail.com,Ingeniería eléctrica
514,NILKA,10,9/6/2020,2971332,nilka@hotmail.co,Estadística
515,YONEVER,10,7/10/2023,3238695,yonever@gmail.co,Ingeniería de sistemas
516,BIVIANY,4,10/23/2018,3645473,biviany@gmail.com,Ingeniería de sistemas
517,ORFENERY,14,4/18/2017,3386893,orfenery@outlook.com,Ingenieria electrónica
518,KARIBEL,1,12/5/2020,3594639,karibel@outlook.co,Matemáticas
519,GLORIAPATRICIA,5,2/8/2018,2944081,gloriapatricia@hotmail.com,Ingenieria electrónica
520,YHULLYE,5,5/10/2023,3521273,yhullye@hotmail.co,Ingeniería de sistemas
521,MAGUEYS,4,6/8/2016,3286351,magueys@gmail.co,Ingenieria química
522,HAYDUK,5,null,3334223,hayduk@gmail.com,Ingeniería Industrial
523,KARROLL,1,12/19/2016,3177043,karroll@outlook.com,Ingeniería Industrial
524,DAWELL,10,5/1/2021,3001124,dawell@outlook.co,Administración de empresas
525,SINDYZ,14,4/30/2018,3498236,sindyz@hotmail.com,Ciencia política
526,ARISBARDO,10,5/21/2021,3188063,arisbardo@hotmail.co,Administración de empresas
527,LAYNA,7,5/10/2023,null,layna@gmail.co,Geología 
528,HAUSDISNEY,8,5/28/2018,3694714,hausdisney@gmail.com,Ingeniería de sistemas
529,LIBBEL,7,10/28/2021,3721539,libbel@outlook.com,Ingenieria química
530,YUBYSELY,8,6/26/2018,3664186,yubysely@hotmail.com,Matemáticas
531,DIOMARYS,2,2/15/2021,3583537,diomarys@hotmail.co,Matemáticas
532,ZOIRIS,6,1/27/2020,2681629,zoiris@gmail.co,Ingenieria química
533,CORALEE,5,7/27/2021,3382430,coralee@gmail.com,Ciencia política
534,NEFRY,2,6/23/2020,3243590,nefry@outlook.com,Ingenieria electrónica
535,SERCY,10,12/19/2016,3757859,sercy@outlook.co,Ingeniería Industrial
536,VICIA,10,1/15/2017,3314285,vicia@hotmail.com,Matemáticas
537,LAYT,5,11/8/2021,2977775,layt@hotmail.co,Matemáticas
538,NORI,2,3/15/2021,2677994,nori@gmail.co,Matemáticas
539,RUMEN,10,5/28/2020,2708856,rumen@gmail.com,Ingeniería de sistemas
540,ERICINDA,2,3/1/2019,3738753,ericinda@outlook.com,Ingeniería eléctrica
541,ENOVA,15,2/23/2018,2775030,enova@outlook.co,Ciencia política
542,BARCELONA,1,12/8/2019,3898375,barcelona@hotmail.com,Ingenieria química
543,DUBERT,15,8/12/2018,2712276,dubert@hotmail.co,Ingenieria química
544,EYEMBERTO,1,11/5/2016,3415942,eyemberto@gmail.co,Matemáticas
545,WHILTER,15,3/6/2020,3697508,whilter@gmail.com,Ingenieria química
546,CARDALES,12,11/13/2021,3720268,cardales@outlook.com,Ingeniería de sistemas
547,WUILDEN,1,3/3/2023,2928163,wuilden@outlook.co,Ingeniería de sistemas
548,ZARIBEY,1,3/13/2018,2610607,zaribey@hotmail.com,Estadística
549,GINNEIDY,5,11/27/2021,3024667,ginneidy@hotmail.co,Ciencia política
550,EUGEN,4,2/7/2022,3586813,eugen@gmail.co,Geología 
551,BATUTIN,5,12/21/2018,3577107,batutin@gmail.com,Administración de empresas
552,MAYLEDIS,5,6/25/2016,3822445,mayledis@outlook.com,Matemáticas
553,YURLEIS,14,3/25/2019,3640835,yurleis@hotmail.com,Ingeniería eléctrica
554,HERCILDA,15,9/9/2022,3921874,hercilda@hotmail.co,Ciencia política
555,JADRID,8,6/30/2018,3825301,jadrid@gmail.co,Ingenieria electrónica
556,AVADIS,5,8/17/2018,3892134,avadis@gmail.com,Ingeniería eléctrica
557,ILDEMAR,4,2/7/2021,2964755,ildemar@outlook.com,Administración de empresas
558,STEV,2,6/14/2023,2631705,stev@outlook.co,Ingeniería Industrial
559,DEXCY,5,5/24/2016,3148337,dexcy@hotmail.com,Ingenieria química
560,GREICI,8,9/5/2021,3810914,greici@hotmail.co,Matemáticas
561,MAIRLIN,8,7/16/2018,2979997,mairlin@gmail.co,Ingeniería Industrial
562,LIVANIA,1,10/15/2020,3222152,livania@gmail.com,Estadística
563,IMMER,5,3/12/2021,2684869,immer@outlook.com,Ingenieria electrónica
564,ARULFO,5,10/9/2020,3114779,arulfo@outlook.co,Estadística
565,CUJAR,2,6/1/2019,3566046,cujar@hotmail.com,Estadística
566,ARFREY,5,1/20/2017,3162572,arfrey@hotmail.co,Ingeniería Industrial
567,DORITZIA,6,3/22/2022,3259980,doritzia@gmail.co,Ingenieria electrónica
568,APOLINA,5,10/9/2016,3000828,apolina@gmail.com,Administración de empresas
569,ILESA,15,9/10/2022,3136293,ilesa@outlook.com,Ingenieria química
570,LORAINER,8,10/10/2019,2827422,lorainer@outlook.co,Ingeniería eléctrica
571,IRACY,2,12/19/2017,3162581,iracy@hotmail.com,Ingeniería eléctrica
572,ELIFIA,5,8/19/2017,3432238,elifia@hotmail.co,Ingeniería eléctrica
573,ESTTELIA,8,7/1/2020,2695249,esttelia@gmail.co,Ingeniería eléctrica
574,FRACE,14,7/23/2022,3385758,frace@gmail.com,Ingeniería de sistemas
575,ASTRD,14,5/8/2021,3245385,astrd@outlook.com,Ciencia política
576,EDISARED,7,6/23/2019,3240224,edisared@hotmail.com,Administración de empresas
577,ARNEY,14,12/21/2016,3670205,arney@hotmail.co,Matemáticas
578,KUELIS,5,4/26/2023,3239829,kuelis@gmail.co,Ingeniería eléctrica
579,NAELA,15,4/26/2022,3665687,naela@gmail.com,Ingenieria electrónica
580,BLELLYS,2,3/22/2023,3887860,blellys@outlook.com,Administración de empresas
581,GIRALBA,10,5/30/2023,3313263,giralba@outlook.co,Administración de empresas
582,CONTANZA,5,11/1/2019,3701466,contanza@hotmail.com,Administración de empresas
583,WILAIS,5,9/14/2017,2674539,wilais@hotmail.co,Administración de empresas
584,CEYLA,4,3/27/2019,2934093,ceyla@gmail.co,Ingeniería de sistemas
585,AYSE,6,11/3/2018,3433692,ayse@gmail.com,Matemáticas
586,ESERANZA,5,12/30/2022,3371989,eseranza@outlook.com,Ingeniería eléctrica
587,DINIO,4,12/16/2022,3150117,dinio@outlook.co,Estadística
588,CASARRUBIA,1,5/8/2017,3319919,casarrubia@hotmail.com,Ciencia política
589,MARIENELLA,7,6/11/2018,3830246,marienella@hotmail.co,Ciencia política
590,GHEYDI,6,12/2/2016,3027877,gheydi@gmail.co,Ciencia política
591,ALENAY,7,6/26/2019,null,alenay@gmail.com,Ingeniería Industrial
592,YEDMI,14,12/9/2018,2671919,yedmi@outlook.com,Geología 
593,LORBAIRO,1,8/16/2019,3219248,lorbairo@outlook.co,Ciencia política
594,YOVERTY,1,11/30/2016,3764085,yoverty@hotmail.com,Geología 
595,ENAURY,2,2/18/2021,3365373,enaury@hotmail.co,Ingeniería de sistemas
596,HUVENEL,1,7/19/2022,3499494,huvenel@gmail.co,Geología 
597,EBEURIS,6,2/6/2023,3833415,ebeuris@gmail.com,Ingenieria química
598,ANJEDY,14,7/11/2019,2647767,anjedy@outlook.com,Administración de empresas
599,DAL,10,1/26/2019,3438069,dal@hotmail.com,Matemáticas
600,YURFANNY,14,11/15/2018,3721000,yurfanny@hotmail.co,Geología 
601,AMELCY,2,8/25/2019,3266713,amelcy@gmail.co,Matemáticas
602,DACILI,14,3/10/2023,2967767,dacili@gmail.com,Matemáticas
603,ADALQUISA,15,8/6/2022,3696668,adalquisa@outlook.com,Administración de empresas
604,ASTRITH,2,1/18/2022,2983313,astrith@outlook.co,Geología 
605,JULEIVY,1,2/6/2019,2592929,juleivy@hotmail.com,Ingenieria química
606,YUSVANNY,2,5/29/2020,2764972,yusvanny@hotmail.co,Ciencia política
607,YISNAIRA,5,12/21/2021,3147926,yisnaira@gmail.co,Matemáticas
608,DARINKA,15,5/28/2022,2612861,darinka@gmail.com,Ciencia política
609,MAYINETH,6,4/11/2019,2882422,mayineth@outlook.com,Ingeniería Industrial
610,BELMONTE,5,4/4/2018,2821899,belmonte@outlook.co,Ingeniería eléctrica
611,GEIXVAN,7,6/25/2019,2703343,geixvan@hotmail.com,Matemáticas
612,MARLIJAR,14,12/3/2021,3887612,marlijar@hotmail.co,Ingenieria electrónica
613,BREANA,1,11/18/2016,3360751,breana@gmail.co,Ingeniería de sistemas
614,EDILCE,2,12/14/2017,2722202,edilce@gmail.com,Ingeniería eléctrica
615,DEWIR,15,11/5/2020,2838305,dewir@outlook.com,Estadística
616,LUISIANA,7,8/28/2016,3290124,luisiana@outlook.co,Estadística
617,OLINDO,5,3/27/2018,3252093,olindo@hotmail.com,Estadística
618,VIKKA,4,2/20/2020,3279598,vikka@hotmail.co,Ingeniería de sistemas
619,LOEL,2,10/16/2020,2840738,loel@gmail.co,Administración de empresas
620,ORIKA,2,6/16/2016,3807835,orika@gmail.com,Ingeniería eléctrica
621,AYEN,7,2/25/2022,3612982,ayen@outlook.com,Estadística
622,ARLIZ,15,5/4/2016,2931410,arliz@hotmail.com,Ingeniería Industrial
623,LIPO,5,10/26/2016,3278428,lipo@hotmail.co,Matemáticas
624,JINNYREY,1,3/7/2021,2655800,jinnyrey@gmail.co,Geología 
625,YEGENIA,1,4/29/2022,3198556,yegenia@gmail.com,Matemáticas
626,BALKIS,10,8/14/2020,3823584,balkis@outlook.com,Ingeniería eléctrica
627,VIANETH,5,8/16/2021,3479865,vianeth@outlook.co,Ingeniería de sistemas
628,MAITUS,5,8/20/2017,3783334,maitus@hotmail.com,Estadística
629,SAYDEN,14,3/30/2017,3449306,sayden@hotmail.co,Ingenieria electrónica
630,DALGLISH,2,1/29/2018,3581812,dalglish@gmail.co,Ciencia política
631,FERIDE,5,11/6/2018,3689787,feride@gmail.com,Ingeniería de sistemas
632,SNEIDER,15,1/11/2021,3790955,sneider@outlook.com,Ingeniería de sistemas
633,GIME,1,6/5/2021,null,gime@outlook.co,Ciencia política
634,ARIELA,5,2/16/2017,3391822,ariela@hotmail.com,Ingenieria electrónica
635,YINNEEHT,1,6/19/2022,3257853,yinneeht@hotmail.co,Ingenieria química
636,FRAYZULI,1,11/8/2016,3517822,frayzuli@gmail.co,Ingeniería Industrial
637,ROBIN,8,2/15/2021,3523685,robin@gmail.com,Ingenieria electrónica
638,LUZDANEZA,7,12/8/2022,3733625,luzdaneza@outlook.com,Geología 
639,MARYARLY,5,6/27/2017,3691891,maryarly@outlook.co,Matemáticas
640,LUPERCI,5,10/9/2019,3397943,luperci@hotmail.com,Matemáticas
641,VIGDOLIA,5,5/25/2016,2965638,vigdolia@hotmail.co,Geología 
642,LEINNER,1,12/6/2018,3054512,leinner@gmail.co,Ingeniería Industrial
643,WINDDY,2,12/12/2016,3428531,winddy@gmail.com,Ingeniería Industrial
644,MARINELLA,14,1/2/2021,3314674,marinella@outlook.com,Ingenieria electrónica
645,STEVE,14,8/14/2022,3270599,steve@hotmail.com,Matemáticas
646,DECELIA,5,10/17/2018,3401615,decelia@hotmail.co,Administración de empresas
647,JANPIER,10,12/15/2022,2950490,janpier@gmail.co,Ingeniería de sistemas
648,WILMEDIS,1,4/7/2023,3730631,wilmedis@gmail.com,Ingenieria electrónica
649,HENSSON,4,1/2/2021,3273326,hensson@outlook.com,Ciencia política
650,KREYLA,6,8/23/2016,2947937,kreyla@outlook.co,Estadística
651,OVANNY,7,5/10/2017,2869202,ovanny@hotmail.com,Ingenieria química
652,JIDIS,5,12/8/2019,2616686,jidis@hotmail.co,Administración de empresas
653,BANYIS,1,4/3/2021,2733026,banyis@gmail.co,Ingeniería de sistemas
654,MARCENIA,1,7/4/2021,2697658,marcenia@gmail.com,Estadística
655,DIAFANADOR,5,6/27/2022,3136335,diafanador@outlook.com,Ingenieria electrónica
656,DELPRADO,2,2/6/2017,3175425,delprado@outlook.co,Ingeniería eléctrica
657,FEMMY,15,1/25/2023,3075766,femmy@hotmail.com,Administración de empresas
658,SUEN,1,10/1/2018,2820746,suen@hotmail.co,Estadística
659,HELVEHR,2,2/22/2019,3825617,helvehr@gmail.co,Administración de empresas
660,KARIN,6,10/18/2016,3690313,karin@gmail.com,Ingeniería de sistemas
661,OSHUALT,1,5/22/2018,3277813,oshualt@outlook.com,Geología 
662,JHOINNER,12,5/2/2022,2962920,jhoinner@outlook.co,Matemáticas
663,FANIAN,1,9/1/2017,3830674,fanian@hotmail.com,Administración de empresas
664,FABARA,8,4/16/2022,3018616,fabara@hotmail.co,Ciencia política
665,DELIS,5,4/30/2020,3201499,delis@gmail.co,Ingenieria química
666,FARIBETH,7,4/5/2022,2908525,faribeth@gmail.com,Ingenieria electrónica
667,YADANIS,4,7/27/2022,3919478,yadanis@outlook.com,Ingenieria electrónica
668,SEUS,4,2/4/2020,2969225,seus@hotmail.com,Administración de empresas
669,ALEXANDAR,6,12/15/2018,2888468,alexandar@hotmail.co,Ingeniería de sistemas
670,YENKINS,8,2/22/2023,2697043,yenkins@gmail.co,Ciencia política
671,ENSITO,2,7/8/2020,3340826,ensito@gmail.com,Ingeniería de sistemas
672,YEMITH,2,12/13/2022,3314654,yemith@outlook.com,Geología 
673,SISAOLA,2,10/29/2019,3552339,sisaola@outlook.co,Ciencia política
674,ALQUIBER,6,4/17/2017,3184584,alquiber@hotmail.com,Ingeniería de sistemas
675,PIENANYILY,5,10/6/2021,3897302,pienanyily@hotmail.co,Ingeniería Industrial
